weight_g,area1_price,area2_price,area3_price,area4_price
500,1563,1826,1938,3199
1000,1563,1835,1938,3199
1500,1563,1889,1938,3199
2000,1563,2051,1938,3199
2500,2683,3149,4213,7617
3000,2683,3149,4213,7617
3500,2683,3149,4213,7617
4000,2683,3149,4213,7617
4500,2683,3228,4213,7617
5000,2683,3463,4213,7617
5500,3369,4391,5774,9486
6000,4055,5396,7335,11355
6500,4741,6401,8896,13224
7000,5427,7406,10457,15093
7500,6113,8411,12018,16962
8000,6799,9416,13579,18831
8500,7485,10421,15140,20700
9000,8171,11426,16701,22569
9500,8857,12431,18262,24438
10000,9543,13436,19823,26307
10500,9690,13691,20111,27312
11000,9837,13946,20399,28317
11500,9984,14201,20687,29322
12000,10131,14456,20975,30327
12500,10278,14711,21263,31332
13000,10425,14966,21551,32337
13500,10572,15221,21839,33342
14000,10719,15476,22127,34347
14500,10866,15731,22415,35352
15000,11013,15986,22703,36357
15500,11160,16241,22991,37362
16000,11307,16496,23279,38367
16500,11454,16751,23567,39372
17000,11601,17006,23855,40377
17500,11748,17261,24143,41382
18000,11895,17516,24431,42387
18500,12042,17771,24719,43392
19000,12189,18026,25007,44397
19500,12336,18281,25295,45402
20000,12483,18536,25583,46407
20500,12765,18875,26103,47187
21000,13047,19214,26623,47967
21500,13329,19553,27143,48747
22000,13611,19892,27663,49527
22500,13893,20231,28183,50307
23000,14175,20570,28703,51087
23500,14457,20909,29223,51867
24000,14739,21248,29743,52647
24500,15021,21587,30263,53427
25000,15303,21926,30783,54207
25500,15585,22265,31303,54987
26000,15867,22604,31823,55767
26500,16149,22943,32343,56547
27000,16431,23282,32863,57327
27500,16713,23621,33383,58107
28000,16995,23960,33903,58887
28500,17277,24299,34423,59667
29000,17559,24638,34943,60447
29500,17841,24977,35463,61227
30000,18123,25316,35983,62007
30500,18433,26183,36858,63369
31000,18433,26183,36858,63369
31500,18743,27050,37733,64731
32000,18743,27050,37733,64731
32500,19053,27917,38608,66093
33000,19053,27917,38608,66093
33500,19363,28784,39483,67455
34000,19363,28784,39483,67455
34500,19673,29651,40358,68817
35000,19673,29651,40358,68817
35500,19983,30518,41233,70179
36000,19983,30518,41233,70179
36500,20293,31385,42108,71541
37000,20293,31385,42108,71541
37500,20603,32252,42983,72903
38000,20603,32252,42983,72903
38500,20913,33119,43858,74265
39000,20913,33119,43858,74265
39500,21223,33986,44733,75627
40000,21223,33986,44733,75627
40500,21533,34853,45608,76989
41000,21533,34853,45608,76989
41500,21843,35720,46483,78351
42000,21843,35720,46483,78351
42500,22153,36587,47358,79713
43000,22153,36587,47358,79713
