weight_g,area1_price,area2_price,area3_price,area4_price
300 ,1400 ,2000 ,2200 ,2400 
500 ,1400 ,2000 ,2200 ,2400 
600 ,1540 ,2180 ,2400 ,2740 
700 ,1680 ,2360 ,2600 ,3080 
800 ,1820 ,2540 ,2800 ,3420 
900 ,1960 ,2720 ,3000 ,3760 
1000 ,2100 ,2900 ,3200 ,4100 
1250 ,2400 ,3300 ,3650 ,4900 
1500 ,2700 ,3700 ,4100 ,5700 
1750 ,3000 ,4100 ,4550 ,6500 
2000 ,3300 ,4500 ,5000 ,7300 
2500 ,3800 ,5200 ,5800 ,8800 
3000 ,4300 ,5900 ,6600 ,10300 
3500 ,4800 ,6600 ,7400 ,11800 
4000 ,5300 ,7300 ,8200 ,13300 
4500 ,5800 ,8000 ,9000 ,14800 
5000 ,6300 ,8700 ,9800 ,16300 
5500 ,6800 ,9400 ,10600 ,17800 
6000 ,7300 ,10100 ,11400 ,19300 
7000 ,8100 ,11200 ,12700 ,21400 
8000 ,8900 ,12300 ,14000 ,23500 
9000 ,9700 ,13400 ,15300 ,25600 
10000 ,10500 ,14500 ,16600 ,27700 
11000 ,11300 ,15600 ,17900 ,29800 
12000 ,12100 ,16700 ,19200 ,31900 
13000 ,12900 ,17800 ,20500 ,34000 
14000 ,13700 ,18900 ,21800 ,36100 
15000 ,14500 ,20000 ,23100 ,38200 
16000 ,15300 ,21100 ,24400 ,40300 
17000 ,16100 ,22200 ,25700 ,42400 
18000 ,16900 ,23300 ,27000 ,44500 
19000 ,17700 ,24400 ,28300 ,46600 
20000 ,18500 ,25500 ,29600 ,48700 
21000 ,19300 ,26600 ,30900 ,50800 
22000 ,20100 ,27700 ,32200 ,52900 
23000 ,20900 ,28800 ,33500 ,55000 
24000 ,21700 ,29900 ,34800 ,57100 
25000 ,22500 ,31000 ,36100 ,59200 
26000 ,23300 ,32000 ,37400 ,61300 
27000 ,24100 ,33200 ,38700 ,63400 
28000 ,24900 ,34300 ,40000 ,65500 
29000 ,25700 ,35400 ,41300 ,67600 
30000 ,26500 ,36500 ,42600 ,69700 
