weight_g,area1_price,area2_price,area3_price,area4_price
100g,620,960,690,720
200g,695,1060,785,840
300g,770,1160,880,960
400g,845,1260,975,1080
500g,920,1360,1070,1200
600g,995,1460,1165,1320
700g,1070,1560,1260,1440
800g,1145,1660,1355,1560
900g,1220,1760,1450,1680
1000g,1295,1860,1545,1800
1100g,1370,1960,1640,1920
1200g,1445,2060,1735,2040
1300g,1520,2160,1830,2160
1400g,1595,2260,1925,2280
1500g,1670,2360,2020,2400
1600g,1745,2460,2115,2520
1700g,1820,2560,2210,2640
1800g,1895,2660,2305,2760
1900g,1970,2760,2400,2880
2000g,2045,2860,2495,3000
