weight_g,area1_price,area2_price,area3_price,area4_price
100g,690,1150,790,820
200g,780,1280,910,1000
300g,870,1410,1030,1180
400g,960,1540,1150,1360
500g,1050,1670,1270,1540
600g,1140,1800,1390,1720
700g,1230,1930,1510,1900
800g,1320,2060,1630,2080
900g,1410,2190,1750,2260
1000g,1500,2320,1870,2440
1100g,1590,2450,1990,2620
1200g,1680,2580,2110,2800
1300g,1770,2710,2230,2980
1400g,1860,2840,2350,3160
1500g,1950,2970,2470,3340
1600g,2040,3100,2590,3520
1700g,2130,3230,2710,3700
1800g,2220,3360,2830,3880
1900g,2310,3490,2950,4060
2000g,2400,3620,3070,4240
