weight_g,area1_price,area2_price,area3_price,area4_price
500,1466,1627,1657,2824
1000,1575,1820,1808,3287
1500,1773,2003,1947,4087
2000,1903,2100,2017,4831
2500,2094,2337,2298,5622
3000,2344,2756,2584,6375
3500,2409,2505,2501,6967
4000,2640,2836,2751,7703
4500,2872,3166,3001,8439
5000,3103,3497,3250,9174
5500,3112,4174,3607,11003
6000,3187,4275,3727,11225
6500,3263,4377,3846,11447
7000,3338,4479,3966,11668
7500,3414,4580,4085,11890
8000,3489,4682,4205,12111
8500,3565,4784,4324,12333
9000,3640,4885,4444,12555
9500,4721,6240,5425,16159
10000,4817,6367,5567,16440
10500,4892,6488,5650,16725
11000,4966,6609,5732,17010
11500,5041,6730,5814,17296
12000,5115,6850,5896,17581
12500,7404,8159,7075,25340
13000,7510,8301,7172,25745
13500,7616,8442,7269,26149
14000,7723,8583,7367,26554
14500,7829,8725,7464,26959
15000,7935,8866,7561,27363
15500,8041,9007,7658,27768
16000,8147,10615,9111,28173
16500,8254,10779,9225,28578
17000,8360,10943,9339,28982
17500,8466,11107,9453,29387
18000,8572,11271,9568,29792
18500,8679,11435,9682,30196
19000,8785,11599,9796,30601
19500,8891,11763,9910,31006
20000,8997,11927,10025,31410
20500,9095,12091,10046,31815
21000,9540,12809,10750,33111
22000,9985,13527,11454,34407
23000,10430,14245,12158,35703
24000,10875,14963,12862,36999
25000,11320,15681,13566,38295
26000,11765,16399,14270,39591
27000,12210,17117,14974,40887
28000,12655,17835,15678,42183
29000,13100,18553,16382,43479
30000,13545,19271,17086,44775
31000,13990,19989,17790,46071
32000,14435,20707,18494,47367
33000,14880,21425,19198,48663
34000,15325,22143,19902,49959
35000,15770,22861,20606,51255
36000,16215,23579,21310,52551
37000,16660,24297,22014,53847
38000,17105,25015,22718,55143
39000,17550,25733,23422,56439
40000,17995,26451,24126,57735
41000,18440,27169,24830,59031
42000,18885,27887,25534,60327
43000,19330,28605,26238,61623
44000,19775,29323,26942,62919
45000,20207,30016,27620,64213
46000,20639,30709,28298,65507
47000,21071,31402,28976,66801
48000,21503,32095,29654,68095
49000,21935,32788,30332,69389
50000,22367,33481,31010,70683
51000,22799,34174,31688,71977
52000,23231,34867,32366,73271
53000,23663,35560,33044,74565
54000,24095,36253,33722,75859
55000,24527,36946,34400,77153
56000,24959,37639,35078,78447
57000,25391,38332,35756,79741
58000,25823,39025,36434,81035
59000,26255,39718,37112,82329
60000,26687,40411,37790,83623
61000,27119,41104,38468,84917
62000,27551,41797,39146,86211
63000,27983,42490,39824,87505
64000,28415,43183,40502,88799
65000,28847,43876,41180,90093
66000,29279,44569,41858,91387
67000,29711,45262,42536,92681
68000,30143,45955,43214,93975
69000,30575,46648,43892,95269
70000,30972,47332,44565,96549
71000,31369,48016,45238,97829
72000,31766,48700,45911,99109
73000,32163,49384,46584,100389
74000,32560,50068,47257,101669
75000,32957,50752,47930,102949
76000,33354,51436,48603,104229
77000,33751,52120,49276,105509
78000,34148,52804,49949,106789
79000,34545,53488,50622,108069
80000,34942,54172,51295,109349
81000,35339,54856,51968,110629
82000,35736,55540,52641,111909
83000,36133,56224,53314,113189
84000,36530,56908,53987,114469
85000,36927,57592,54660,115749
86000,37324,58276,55333,117029
87000,37721,58960,56006,118309
88000,38118,59644,56679,119589
89000,38515,60328,57352,120869
90000,38912,61012,58025,122149
91000,39309,61696,58698,123429
92000,39706,62380,59371,124709
93000,40103,63064,60044,125989
94000,40500,63748,60717,127269
95000,40897,64432,61390,128549
96000,41294,65116,62063,129829
97000,41691,65800,62736,131109
98000,42088,66484,63409,132389
99000,42485,67168,64082,133669
100000,42882,67852,64755,134949
