weight_g,area1_price,area2_price,area3_price,area4_price
1000,2200,2700,2700,3400
2000,2900,3850,3850,5000
3000,3600,5000,5000,6600
4000,4300,6150,6150,8200
5000,5000,7300,7300,9800
6000,5600,8350,8350,11250
7000,6200,9400,9400,12700
8000,6800,10450,10450,14150
9000,7400,11500,11500,15600
10000,8000,12550,12550,17050
11000,8400,13250,13250,18050
12000,8800,13950,13950,19050
13000,9200,14650,14650,20050
14000,9600,15350,15350,21050
15000,10000,16050,16050,22050
16000,10400,16750,16750,23050
17000,10800,17450,17450,24050
18000,11200,18150,18150,25050
19000,11600,18850,18850,26050
20000,12000,19550,19550,27050
21000,12400,20250,20250,28050
22000,12800,20950,20950,29050
23000,13200,21650,21650,30050
24000,13600,22350,22350,31050
25000,14000,23050,23050,32050
26000,14400,23750,23750,33050
27000,14800,24450,24450,34050
28000,15200,25150,25150,35050
29000,15600,25850,25850,36050
30000,16000,26550,26550,37050
