weight_g,area1_price,area2_price,area3_price,area4_price
100,350,750,480,510
200,450,880,600,680
300,550,1010,720,850
400,650,1140,840,1020
500,750,1270,960,1190
600,850,1400,1080,1360
700,950,1530,1200,1530
800,1050,1660,1320,1700
900,1150,1790,1440,1870
1000,1250,1920,1560,2040
1100,1350,2050,1680,2210
1200,1450,2180,1800,2380
1300,1550,2310,1920,2550
1400,1650,2440,2040,2720
1500,1750,2570,2160,2890
1600,1850,2700,2280,3060
1700,1950,2830,2400,3230
1800,2050,2960,2520,3400
1900,2150,3090,2640,3570
2000,2250,3220,2760,3740
